time,average_flux_x,average_flux_y,average_temp,average_temperature_gradient_x,average_temperature_gradient_y
0,0,0,0,0,0
1,129.56370179117,5.353011201824e-06,628.62053952666,6.9999999999294,-1.210970187437e-06

