time,average_flux_x,average_flux_y,average_temp,average_temperature_gradient_x,average_temperature_gradient_y
0,0,0,0,0,0
1,67.732332095856,2.2430630075177e-06,573.2214665385,3.9999999999922,-7.0162665073151e-07

